sid|fname
304|datasets/VCTK-Corpus/wav22/p304/p304_053.wav|This is not a Scottish problem.
287|datasets/VCTK-Corpus/wav22/p287/p287_236.wav|The Hibs manager is no fool.
264|datasets/VCTK-Corpus/wav22/p264/p264_237.wav|Other teams moved up too.)
278|datasets/VCTK-Corpus/wav22/p278/p278_387.wav|How independent is that ?
247|datasets/VCTK-Corpus/wav22/p247/p247_188.wav|We have to offer value for money.)
351|datasets/VCTK-Corpus/wav22/p351/p351_340.wav|They have got off with murder.
263|datasets/VCTK-Corpus/wav22/p263/p263_246.wav|We shall not forget him.
283|datasets/VCTK-Corpus/wav22/p283/p283_207.wav|But the main issue will be the sale of Burger King.
262|datasets/VCTK-Corpus/wav22/p262/p262_273.wav|Alex has been a huge influence on the club.
263|datasets/VCTK-Corpus/wav22/p263/p263_073.wav|It is a terrible loss.
263|datasets/VCTK-Corpus/wav22/p263/p263_040.wav|We are over the moon.
267|datasets/VCTK-Corpus/wav22/p267/p267_018.wav|It is difficult for Ali.
285|datasets/VCTK-Corpus/wav22/p285/p285_048.wav|He added that public transport improvements must also be maintained.
361|datasets/VCTK-Corpus/wav22/p361/p361_261.wav|It is on the news.
239|datasets/VCTK-Corpus/wav22/p239/p239_150.wav|Even more harrowing, though, was the reception from her husband and manager.
295|datasets/VCTK-Corpus/wav22/p295/p295_128.wav|I just have no maternal instincts.
238|datasets/VCTK-Corpus/wav22/p238/p238_010.wav|It's very dangerous for markets.
278|datasets/VCTK-Corpus/wav22/p278/p278_135.wav|We must improve our relations with government.
256|datasets/VCTK-Corpus/wav22/p256/p256_271.wav|Who would be a referee?
301|datasets/VCTK-Corpus/wav22/p301/p301_229.wav|But he was a full, working member of our staff.
339|datasets/VCTK-Corpus/wav22/p339/p339_054.wav|I have no worry about that.
333|datasets/VCTK-Corpus/wav22/p333/p333_266.wav|But the Foreign Secretary can cope.
265|datasets/VCTK-Corpus/wav22/p265/p265_208.wav|The award to Senator Mitchell was announced by the Foreign Office.
